22:30:18; Пользователь . запустил бота; 470673; .; Anton9111;
22:30:47; 2+3*71; 470673; .; Anton9111;
22:30:47; Пользователь . получил ответ ; 2+3*71 = 215; .; Anton9111;
22:30:55; Пользователь . запустил /help; 470673; .; Anton9111;
22:31:12; (82-2)*1; 470673; .; Anton9111;
22:31:13; Пользователь . получил ответ ; (82-2)*1 = 80; .; Anton9111;
22:31:30; 87/0; 470673; .; Anton9111;
22:31:30; Пользователь . получил ответ:- 'На ноль делить нельзя'; 470673; .; Anton9111;
22:31:39; Пользователь . получил ответ:- 'Я понимаю только математические выражения'; 470673; .; Anton9111;
22:31:42; иротл; 470673; .; Anton9111;
22:31:42; Пользователь . получил ответ об ошибке; 470673; .; Anton9111;
22:31:45; отл; 470673; .; Anton9111;
22:31:45; Пользователь . получил ответ об ошибке; 470673; .; Anton9111;
22:31:56; 312+4; 470673; .; Anton9111;
22:31:56; Пользователь . получил ответ ; 312+4 = 316; .; Anton9111;
